yyyymm;veh_f_all;veh_s_all;veh_u_all;veh_r_all;vehrn_lp_all;vehrn_biap_all;vehrn_lr_all;vehrn_biar_all;vehrn_gt_all;vehrn_mpg_all;vehrn_hp_all;vehrn_hr_all;vehrn_tb_all;vehrn_fb_all;vehrn_gas_all;vehrn_sel_all
200401;78;5;17;161;36;2;40;1;6;1;8;3;4;2;1;1
200402;69;12;19;150;29;4;38;1;4;1;8;4;4;3;1;1
200403;72;9;19;153;35;3;38;1;3;0;9;3;3;3;4;1
200404;70;7;23;147;32;3;38;1;7;1;10;3;4;3;7;3
200405;67;10;23;144;28;4;34;3;3;5;9;5;3;3;8;2
200406;69;6;25;144;34;6;32;3;4;5;9;4;3;2;15;3
200407;67;8;25;142;35;4;33;2;3;1;11;5;4;1;7;2
200408;67;10;23;144;35;4;33;2;3;1;10;4;3;4;9;2
200409;70;8;22;148;36;5;32;2;5;2;9;5;5;2;6;3
200410;72;8;20;152;36;6;32;1;2;3;10;3;4;2;5;2
200411;64;10;26;138;31;5;25;2;6;2;11;4;5;4;8;2
200412;71;12;17;154;33;6;33;3;7;1;9;4;2;3;2;1
200501;69;9;22;147;40;5;27;2;6;1;10;5;3;5;1;2
200502;67;10;23;144;34;6;29;2;5;2;12;4;6;0;3;3
200503;59;12;29;130;27;6;22;4;3;3;12;4;3;1;11;3
200504;59;10;31;128;32;5;23;2;3;7;9;3;4;2;18;7
200505;61;11;28;133;31;7;19;3;4;7;10;3;5;2;16;5
200506;65;9;26;139;41;5;21;2;2;3;11;3;2;1;10;5
200507;74;4;22;152;52;4;15;1;4;3;9;2;2;1;9;2
200508;70;7;23;147;55;4;16;0;3;2;10;3;4;2;8;1
200509;59;7;34;125;41;5;12;1;2;8;11;1;4;2;20;7
200510;54;11;35;119;38;4;12;2;1;9;11;3;5;1;23;8
200511;60;5;35;125;42;3;15;1;2;6;11;2;5;2;15;7
200512;64;7;29;135;43;3;12;1;2;5;12;5;5;2;9;6
200601;64;9;27;137;36;6;11;1;4;6;10;4;5;1;10;5
