Date,h=1,h=3,h=12
11/2015,0.876619955,0.923419441,0.973399611
12/2015,0.889207665,0.932009492,0.974721827
1/2016,0.896690168,0.937491282,0.976047459
2/2016,0.861382941,0.910034562,0.967090266
3/2016,0.847348159,0.898451665,0.962673425
4/2016,0.808743915,0.867784548,0.952161175
5/2016,0.785049229,0.848419542,0.944889877
6/2016,0.775950533,0.840381107,0.94109584
7/2016,0.776974004,0.840204227,0.939561117
8/2016,0.771437413,0.835056432,0.93673273
9/2016,0.779679174,0.840708349,0.937488089
10/2016,0.802470312,0.857192526,0.941197388
11/2016,0.817779067,0.867261811,0.942711883
12/2016,0.762298577,0.8248118,0.929555963
1/2017,0.726395667,0.796442332,0.92024881
2/2017,0.700591367,0.775371808,0.91272939
3/2017,0.682271655,0.759587036,0.905995213
4/2017,0.672106627,0.750645678,0.901858559
5/2017,0.673626193,0.750858686,0.900530843
6/2017,0.673663057,0.750742473,0.899821045
7/2017,0.675735472,0.752061401,0.899575347
8/2017,0.688147409,0.761481751,0.901929839
9/2017,0.703694099,0.773599423,0.905595418
10/2017,0.696267434,0.769180932,0.905995795
11/2017,0.697467259,0.771253475,0.90822768
12/2017,0.70254416,0.776015144,0.910610761
